symbol,name
NEBL,Neblio
TRX,TRON
BUZZ,BUZZCoin
MANA,Decentraland
IND,Indorse Token
XPA,XPA
SCL,Sociall
ATB,ATBCoin
PRO,Propy
LINK,Chainlink
KNCL,Kyber Network Crystal Legacy
VIBE,VIBE
SUB,Substratum
DAY,Chronologic
RVT,Rivetz
KIN,Kin
SALT,SALT
ORMEUS,Ormeus Coin
COLX,ColossusXT
TZC,TrezarCoin
COB,Cobinhood
MSD,MSD
BIS,Bismuth
ADA,Cardano
XTZ,Tezos
XIN,Infinity Economics
VIB,Viberate
REV,RChain
INXT,Internxt
REAL,REAL
EVX,Everex
PPP,PayPie
BTCZ,BitcoinZ
CND,Cindicator
ENG,Enigma
ZSC,Zeusshield
PIPL,PiplCoin
AST,AirSwap
BCPT,Blockmason Credit Protocol
AION,Aion
ART,Maecenas
EVR,Everus
DRT,DomRaider
REQ,Request
ETG,Ethereum Gold
BLUE,Blue Protocol
AMB,Ambrosus
BTG,Bitcoin Gold
KCS,KuCoin Token
EXRN,EXRNchain
LA,LATOKEN
XUC,Exchange Union
NULS,NULS
RCN,Ripio Credit Network
ICX,ICON
JS,JavaScript Token
IETH,iEthereum
PIRL,Pirl
LUX,LUXCoin
DOV,Dovu
PHB,Phoenix Global [old]
FUEL,Etherparty
FYP,FlypMe
ENJ,Enjin Coin
IBTC,iBTC
POWR,Powerledger
GRID,Grid+
REV,Revain
ATL,ATLANT
ETN,Electroneum
SONO,SONO
DATA,Streamr
XSH,SHIELD
ELTCOIN,ELTCOIN
DSR,Desire
NIOX,Autonio
ARNX,Aeron
PHR,Phore
INN,Innova
RDN,Raiden Network Token
DPY,Delphy
ERC20,ERC20
DBET,DecentBet
UFR,Upfiring
GVT,Genesis Vision
PRIX,Privatix
LTHN,Lethean
PAYX,Paypex
GBX,GoByte
PNX,Phantomx
DNA,EncrypGen
INK,Ink
QSP,Quantstamp
QASH,QASH
TSL,Energo
SPANK,SpankChain
VOT,VoteCoin
BCD,Bitcoin Diamond
VEE,BLOCKv
MONK,MONK
FLIXX,Flixxo
TNB,Time New Bank
WISH,MyWish
EVC,EventChain
ONG,SoMee.Social [OLD]
CCO,Ccore
QBT,Qbao
DRGN,Dragonchain
PFR,Payfair
PRE,Presearch
CMT,CyberMiles
BCDN,BlockCDN
CAPP,Cappasity
ERO,Eroscoin
ITC,IoT Chain
SEND,Social Send
BON,Bonpay
NUKO,Nekonium
DAM,Datamine
WABI,Wabi
WAND,WandX
UQC,Uquid Coin
MDS,MediShares
IGNIS,Ignis
SMT,SmartMesh
PKT,Playkey
FIL,Filecoin
BCX,BitcoinX
SBTC,Super Bitcoin
DAT,Datum
AMM,MicroMoney
LOC,LockTrip
WRC,Worldcore
GTO,Gifto
YTN,YENTEN
GNX,Genaro Network
UBTC,United Bitcoin
STAR,Starbase
OST,OST
STMX,StormX
ELF,aelf
WAXP,WAX
MED,MediBloc
NGC,NAGA
BRD,Bread
BIX,Bibox Token
SPHTX,SophiaTX
BNTY,Bounty0x
SRN,SIRIN LABS Token
HTML,HTMLCOIN
DBC,DeepBrain Chain
NEU,Neumark
QC,Qcash
UTK,Utrust
QLC,QLC Chain
PLAY,HEROcoin
ONE,BigONE Token
MTX,Matryx
HPY,Hyper Pay
STAK,STRAKS
LBTC,Lightning Bitcoin
GTC,Game.com
TAU,Lamden
SWFTC,SwftCoin
COV,Covesting
CAN,CanYaCoin
APPC,AppCoins
HPB,High Performance Blockchain
WICC,WaykiChain
MDT,Measurable Data Token
XIN,Mixin
CL,Coinlancer
GET,GET Protocol
AIDOC,AI Doctor
POLIS,Polis
ZAP,Zap
TCT,TokenClub
FAIR,FairGame
AIX,Aigang
GOD,Bitcoin God
UTT,United Traders Token
TOPC,TopChain
KCASH,Kcash
ATN,ATN
SXUT,Spectre.ai Utility Token
KZC,KZ Cash
BCA,Bitcoin Atom
EKO,EchoLink
BTO,Bottos
TEL,Telcoin
IC,Ignition
WETH,WETH
KEY,Selfkey
INT,INT
RNT,OneRoot Network
SENSE,Sense
MOAC,MOAC
IOST,IOST
IDT,InvestDigital
AIT,AICHAIN
SPC,SpaceChain
ORE,Galactrum
ARCT,ArbitrageCT
THETA,THETA
PUT,Profile Utility Token
IDXM,IDEX Membership
AGIX,SingularityNET
CHAT,ChatCoin
DDD,Scry.info
MOBI,Mobius
HOT,Hydro Protocol
MAG,Maggie
YEE,YEE
AAC,Acute Angle Cloud
MOF,Molecular Future
TNC,Trinity Network Credit
C20,CRYPTO20
DTA,DATA
CRPT,Crypterium
SPK,SparksPay
CV,carVertical
TBX,Tokenbox
EKT,EDUCare
UIP,UnlimitedIP
TRUE,TrueChain
OCN,Odyssey
IDH,indaHash
AID,AidCoin
EVE,Devery
BUX,BUX Token
AXPR,AXPR
TRAC,OriginTrail
LET,LinkEye
ZIL,Zilliqa
MEET,CoinMeet
SLT,Smartlands Network
FOTA,Fortuna
SOC,All Sports
MAN,Matrix AI Network
GRLC,Garlicoin
RUFF,Ruff
COFI,CoinFi
EQL,Equal
ZPT,Zeepin
CPC,CPChain
BTW,BitWhite
CXO,CargoX
ELA,Elastos
STK,STK
POLY,Polymath
MTN,Medicalchain
CHSB,SwissBorg
ZLA,Zilla
ADB,adbank
HT,Huobi Token
DMT,DMarket
BLZ,Bluzelle
SWM,Swarm
TKY,THEKEY
WPR,WePower
MNTP,GoldMint
MLM,MktCoin
UTNP,Universa
ACAT,Alphacat
RMT,SureRemit
DTH,Dether
CAS,Cashaa
FSN,Fusion
MWAT,Restart Energy MWAT
EDGE,Edge
NTK,Neurotoken
GEM,Gems 
NEC,Nectar
REN,Ren
LCC,Litecoin Cash
TDX,Tidex Token
NCASH,Nucleus Vision
ABT,Arcblock
REM,Remme
POA,POA Network
XNK,Ink Protocol
BEZ,Bezop
IHT,IHT Real Estate Protocol
RFR,Refereum
LYM,Lympo
SETH,Sether
CS,Credits
INSTAR,Insights Network
TUBE,BitTube
LEDU,Education Ecosystem
TUSD,TrueUSD
HQX,HOQU
STAC,StarterCoin
ONT,Ontology
DATX,DATx
J8T,JET8
TOMO,TomoChain
GRFT,Graft
BAX,BABB
ELEC,Electrify.Asia
BTCP,Bitcoin Private
TEN,Tokenomy
RVN,Ravencoin
TONE,TE-FOOD
SHIP,ShipChain
DEB,Debitum
CENNZ,Centrality
SNX,Synthetix
LOOM,Loom Network
BANCA,Banca
NANJ,NANJCOIN
UP,UpToken
1WO,1World
NPX,NaPoleonX
NPXS,Pundi X[old]
BITG,Bitcoin Green
BFT,BnkToTheFuture
WAN,Wanchain
AMLT,AMLT
MITH,Mithril
PCL,PECULIUM
XBP,BlitzPick
SPD,Stipend
SWTH,Switcheo
SENC,Sentinel Chain
FDZ,Friendz
TPAY,TokenPay
BERRY,Rentberry
XLA,Scala
NCT,PolySwarm
ODE,ODEM
XSN,Stakenet
XDC,XDC Network
CTXC,Cortex
CVT,CyberVein
DVPN,Sentinel
EOSDAC,eosDAC
UUU,U Network
AUC,Auctus
BUBO,Budbo
XMC,Monero Classic
MFG,Smart MFG
ADI,Aditus
TRIO,Tripio
XHV,Haven Protocol
DERO,Dero
EFX,Effect Network
FTX,FintruX Network
CHX,WeOwn
MSR,Masari
DOCK,Dock
PHI,PHI Token
LNC,Linker Coin
DML,Decentralized Machine Learning
HOT,Holo
ZEBI,Zebi Token
VIPS,Vipstar Coin
RBLX,Rublix
BTRN,Biotron
PNT,Penta
NEXO,Nexo
DAX,DAEX
HYDRO,Hydro
SS,Sharder
CEL,Celsius
BCI,Bitcoin Interest
TNS,Transcodium
AMN,Amon
MITX,Morpheus Labs
MTC,DOC.COM
MT,MyToken
KEY,KEY
BOUTS,BoutsPro
GENE,Parkgene
APR,APR Coin
FXT,FuzeX
ZIPT,Zippie
SKM,Skrumble Network
GEN,DAOstack
BZNT,Bezant
EDU,EduCoin
CNN,Content Neutrality Network
GSC,Global Social Chain
DGX,Digix Gold Token
IIC,Intelligent Investment Chain
SKB,Sakura Bloom
JOINT,Joint Ventures
GRN,GreenPower
BMH,BlockMesh
OXEN,Oxen
DTRC,Datarius Credit
CLO,Callisto Network
UBT,Unibright
PAT,Patron
LBA,Cred
OPEN,Open Platform
MNW,Morpheus.Network
UBSN,Silent Notary
XYO,XYO
CPT,Cryptaur
RED,RED
DGTX,Digitex
FACE,Faceter
AVA,Travala.com
IOTX,IoTeX
NKN,NKN
SOUL,Phantasma
SPD,SPINDLE
REPO,REPO
SEELE,Seele-N
EDR,Endor Protocol
BBO,Bigbom
0xBTC,0xBitcoin
PI,Plian
QKC,QuarkChain
BNK,Bankera
ETZ,Ether Zero
FTO,FuturoCoin
ABYSS,Abyss
TM2,TRAXIA
EGCC,Engine
CBC,CBC.network
CEEK,CEEK VR
XMX,XMax
GO,GoChain
SSP,Smartshare
TRTT,Trittium
UPP,Sentinel Protocol
DAG,Constellation
MVP,Merculet
FGC,FantasyGold
UCT,Ubique Chain Of Things
MET,Metronome
AOA,Aurora
TERN,Ternio
DFT,DigiFinexToken
ORS,Origin Sport
RTE,Rate3
ZCN,0Chain
ZINC,ZINC
FSBT,FSBT API Token
EGT,Egretia
BOB,Bob's Repair
KNDC,KanadeCoin
CARD,Cardstack
OTB,OTCBTC Token
MFT,Hifi Finance
GOT,GoNetwork
PAI,Project Pai
FTI,FansTime
ESS,Essentia
KBC,Karatgold Coin
HSC,HashCoin
LIKE,LikeCoin
ORS,ORS Group
TENT,TENT
DTX,Databroker
BKBT,BeeKan
MOC,Moss Coin
NIM,Nimiq
ZXC,0xcert
OLT,OneLedger
SUSD,sUSD
TGAME,Truegame
IQ,Everipedia
BMX,BitMart Token
KAN,BitKan
VITE,VITE
GARD,Hashgard
CET,CoinEx Token
RPL,Rocket Pool
ELY,Elysian
BOX,ContentBox
SOP,SoPay
KRL,Kryll
LEMO,LemoChain
BWX,Blue Whale EXchange
COSM,Cosmo Coin
NRVE,Narrative
TRTL,TurtleCoin
TOTO,Tourist Token
VIKKY,VikkyToken
FOXT,Fox Trading
BRDG,Bridge Protocol
GVE,Globalvillage Ecosystem
LCS,LocalCoinSwap
ZPR,ZPER
RYO,Ryo Currency
BIT,BitRewards
ACED,AceD
WAB,WABnetwork
MVL,MVL
NCP,Newton Coin Project
DACC,DACC
TOS,ThingsOperatingSystem
PGN,Pigeoncoin
EURS,STASIS EURO
EXMR,EXMR FDN
NIX,NIX
APL,Apollo Currency
HORUS,HorusPay
BIFI,Bitcoin File
VEX,Vexanium
HDAC,Hdac
KWH,KWHCoin
MCT,Master Contract Token
ACDC,Volt
NBR,Niobio
VIVID,Vivid Coin
CEN,Coinsuper Ecosystem Network
BITX,BitScreener Token
VTHO,VeThor Token
PRIV,PRiVCY
NCC,NeuroChain
KLKS,Kalkulus
BHP,BHPCoin
SEM,Semux
ARO,Arionum
WEB,Webcoin
FLUX,Flux
BBK,Bitblocks
GOC,GoCrypto Token
YOU,YOU COIN
DACS,DACSEE
TCH,Thore Cash
YCC,Yuan Chain Coin
PC,Promotion Coin
ROCK2,ICE ROCK MINING
BCV,BitCapitalVendor
BTCN,BitcoiNote
LXT,Litex
EUNO,EUNO
VET,VeChain
KIND,Kind Ads Token
X8X,X8X Token
CMM,Commercium
ECOM,Omnitude
VIN,VINchain
LINA,LINA
INO,INO COIN
CROAT,CROAT
NUG,Nuggets
BBS,BBSCoin
SCR,Scorum Coins
NBC,Niobium Coin
NPXSXEM,Pundi X NEM
XOV,XOVBank
OPTI,OptiToken
GIC,Giant
PKG,PKG Token
XPAT,Bitnation
INB,Insight Chain
GIO,Graviocoin
SDS,Alchemint Standards
OWN,OWNDATA
IG,IGToken
GSE,GSENetwork
XDNA,XDNA
XPX,ProximaX
GET,Themis
SCC,SiaCashCoin
NYEX,Nyerium
TIC,Thingschain
EGEM,EtherGem
AREPA,Arepacoin
MEETONE,MEET.ONE
KARMA,KARMA
DX,DxChain Token
UBEX,Ubex
PASS,Blockpass
BAAS,BaaSid
THR,ThoreCoin
HYC,HYCON
METM,MetaMorph
NTK,Netkoin
AKA,Akroma
OBTC,Obitan Chain
DAC,Davinci Coin
QNT,Quant
ABL,Airbloc
ZCR,ZCore
XAP,Apollon
YLC,YoloCash
PMA,PumaPay
ARION,Arion
XBI,Bitcoin Incognito
HB,HeartBout
MARO,Maro
ABX,Arbidex
COMP,Compound Coin
HAND,ShowHand
HIT,HitChain
GPKR,Gold Poker
MFTU,Mainstream For The Underground
RATING,DPRating
KXC,KingXChain
NSD,Nasdacoin
LOBS,Lobstex
VDG,VeriDocGlobal
YUKI,YUKI
KWATT,4NEW
MIB,MIB Coin
GTM,Gentarium
ONG,Ontology Gas
NRG,Energi
FTXT,FUTURAX
DAV,DAV Coin
BNC,Bionic
DOW,DOWCOIN
TAC,Traceability Chain
BQT,Blockchain Quotations Index Token
STR,Staker
UT,Ulord
XRA,Xriba
AT,ABCC Token
FKX,FortKnoxster
BEET,Beetle Coin
IMT,Moneytoken
FLOT,Fire Lotto
ALI,AiLink Token
GOT,ParkinGo
SHE,ShineChain
BLACK,eosBLACK
CYMT,CyberMusic
BTR,Bitether
GZE,GazeCoin
BUT,BitUP Token
UC,YouLive Coin
AMO,AMO Coin
EVN,EvenCoin
DIN,Dinero
DIT,Digital Insurance Token
HAVY,Havy
CARE,Carebit
IMP,Ether Kingdoms Token
IQ,IQ.cash
SNO,SaveNode
RTH,Rotharium
RET,RealTract
BIR,Birake
MEX,MEX
AAA,Abulaba
BTAD,Bitcoin Adult
BU,BUMO
MIN,MINDOL
GENE,Gene Source Code Chain
IHF,Invictus Hyperion Fund
UCN,UChain
MOLK,MobilinkToken
EDN,Eden
GUSD,Gemini Dollar
CSTL,Castle
CFL,CryptoFlow
IOG,Playgroundz
AOG,smARTOFGIVING
CTRT,Cryptrust
PYN,PAYCENT
PLURA,PluraCoin
ROX,Robotina
SIX,SIX
CMIT,CMITCOIN
DFS,Fantasy Sports
USDP,Pax Dollar
GOSS,Gossip Coin
XCASH,X-CASH
SHARD,Shard
IQN,IQeon
QCH,QChi
PAXEX,PAXEX
ANON,ANON
ECOREAL,Ecoreal Estate
DAPS,DAPS Coin
CARAT,CARAT
MNP,MNPCoin
GPYX,GoldenPyrex
ZB,ZB Token
MAS,MidasProtocol
TRXC,TRONCLASSIC
TMTG,The Midas Touch Gold
DAGT,Digital Asset Guarantee Token
MINTME,MintMe.com Coin
AUX,Auxilium
WXC,WXCOINS
PLC,PLATINCOIN
SINS,SafeInsure
CRD,CRD Network
KUE,Kuende
MIR,MIR COIN
RAGNA,Ragnarok
XGS,GenesisX
CIV,Civitas
KNT,Knekted
ACM,Actinium
BLAST,BLAST
FREE,FREE Coin
TOL,Tolar
QUAN,Quantis Network
STEEP,SteepCoin
NRP,Neural Protocol
SCRIV,SCRIV NETWORK
WIX,Wixlar
RSTR,Ondori
USDC,USD Coin
ZEUS,ZeusNetwork
WAGE,Digiwage
F1C,Future1coin
META,Metadium
QAC,Quasarcoin
KKC,Kabberry Coin
SHPING,SHPING
S,Sharpay
CMCT,Cyber Movie Chain
ICNQ,Iconic Token
RPD,Rapids
ENTS,EUNOMIA
SNET,Snetwork
ABBC,ABBC Coin
DEAL,iDealCash
DIVI,Divi
KUN,KUN
ZNT,Zenswap Network Token
ATH,Atheios
MMO,MMOCoin
BLOC,BLOC.MONEY
ETHO,Etho Protocol
DATP,Decentralized Asset Trading Platform
PLUS1,PlusOneCoin
IRD,Iridium
ZT,ZBG Token
HELP,GoHelpFund
CHEESE,Cheesecoin
ALT,Alt.Estate token
ISR,Insureum
SQR,Squorum
FBN,Fivebalance
TDP,TrueDeck
DT,Dragon Token
BOX,BOX Token
ITL,Italian Lira
ASA,Asura Coin
BIT,BitMoney
MODX,MODEL-X-coin
SHMN,StrongHands Masternode
PNY,Peony
TELOS,Teloscoin
WTN,Waletoken
GZRO,Gravity
ESCE,Escroco Emerald
VLD,Vetri
BZX,Bitcoin Zero
SOUL,CryptoSoul
HNDC,HondaisCoin
TYPE,Typerium
IONC,IONChain
MBC,MicroBitcoin
VOCO,Provoco Token
APC,Alpha Coin
FTM,Fantom
SIN,SINOVATE
D4RK,Dark
BRZE,Breezecoin
SND,SnodeCoin
CYL,Crystal Token
PNK,Kleros
MEDIBIT,MediBit
POSS,Posscoin
BGG,Bgogo Token
ETHM,Ethereum Meta
PTN,PalletOne
XNV,Nerva
INVE,InterValue
ETI,EtherInc
HUM,Humanscape
BSV,Bitcoin SV
SHB,SkyHub Coin
VEST,VestChain
UDOO,Howdoo
CWV,CWV Chain
MICRO,Micromines
NOR,Noir
DASHG,Dash Green
HQT,HyperQuant
BCDT,EvidenZ
ILC,ILCOIN
GATE,Gate
ATP,Atlas Protocol
NZL,Zealium
EQUAD,QuadrantProtocol
RBTC,RSK Smart Bitcoin
BLTG,Block-Logic
MXC,MXC
FOAM,FOAM
OPCT,Opacity
PLAT,BitGuild PLAT
KAT,Kambria
CRO,Crypto.com Coin
LML,Link Machine Learning
AERGO,Aergo
PXG,PlayGame
LPT,Livepeer
TVNT,TravelNote
SHVR,Shivers
HERB,Herbalist Token
NPLC,Plus-Coin
COVA,COVA
NEXT,NEXT
ZUM,ZumCoin
BRC,Baer Chain
BECN,Beacon
LAMB,Lambda
FTN,Fountain
QUIN,QUINADS
SHX,Stronghold Token
HEDG,HedgeTrade
XFC,Footballcoin
AGVC,AgaveCoin
IMPL,Impleum
ULT,Ultiledger
AWC,Atomic Wallet Coin
PRX,ProxyNode
WCO,Winco
DOGEC,DogeCash
ASD,ASD
ROCO,ROIyal Coin
RNO,Earneo
CENT,CENTERCOIN
XTA,Italo
AENS,AEN Smart Token
B2G,Bitcoiin
BTCL,BTC Lite
CVNT,Conscious Value Network
BTB,BitBall
MOX,MoX
BUL,Bulleon
KT,Kuai Token
TOK,TOKOK
HYN,Hyperion
OBSR,Observer
RIF,RSK Infrastructure Framework
BEAM,Beam
ADM,ADAMANT Messenger
VSYS,v.systems
TOSC,T.OS
EXO,Exosis
GRIN,Grin
PLA,Plair
CLBK,Cloudbric
LTO,LTO Network
CAJ,Cajutel
VEO,Amoveo
WBTC,Wrapped Bitcoin
BTT,BitTorrent
USDS,Stably USD
HPT,Huobi Pool Token
TEMCO,TEMCO
SOLVE,SOLVE
TCAT,The Currency Analytics
PLA,PlayChip
CCX,Conceal
S4F,S4FE
ELAMA,Elamachain
VGW,VegaWallet Token
BTU,BTU Protocol
DCTO,Decentralized Crypto Token
ECTE,EurocoinToken
BNANA,Chimpion
WEBN,WEBN token
ELD,Electrum Dark
HXRO,Hxro
XPC,eXPerience Chain
LABX,Stakinglab
UPX,uPlexa
PLTC,PlatonCoin
EVY,EveryCoin 
MNC,Moneynet
MHC,#MetaHash
GMB,GMB
MCF,Max Crowdfund
JNB,Jinbi Token
SWC,Scanetchain
DSCPL,DISCIPLINA
OWC,ODUWA
SET,Save Environment Token
FAT,Fatcoin
1X2,1X2 COIN
PIB,PIBBLE
HBX,HashBX
CCN,CustomContractNetwork
SCC,STEM CELL COIN
FET,Fetch.ai
MNC,Maincoin
GFUN,GoldFund
SPT,Spectrum
